name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
The Break-Up,the-break-up,46843,2006,,0,7,0,1,2024-09-20
Beetlejuice,beetlejuice,49530,1988,,1,8,1,1,2024-09-14
Grown Ups 2,grown-ups-2,87869,2013,,0,3,0,1,2024-09-05
Back to the Future,back-to-the-future,51945,1985,,1,10,1,0,2024-08-30
Scream 4,scream-4,23586,2011,,0,4,0,1,2024-08-30
Scream 3,scream-3,49453,2000,,0,2,0,1,2024-08-26
Kingdom of the Planet of the Apes,kingdom-of-the-planet-of-the-apes,578774,2024,,0,,0,1,2024-08-22
Scream 2,scream-2,49454,1997,,0,5,0,1,2024-08-20
Juno,juno,48051,2007,,0,10,1,1,2024-08-19
Scream,scream,49455,1996,,1,6,1,1,2024-08-19
Bigger! With Brennan and Izzy,bigger-with-brennan-and-izzy,1130936,2024,,0,10,1,0,2024-07-27
American Pie,american-pie,50521,1999,,0,5,1,1,2024-07-24
The Dead Zone,the-dead-zone,45398,1983,,0,8,1,1,2024-07-23
Evil Dead Rise,evil-dead-rise,636761,2023,,0,5,0,1,2024-07-21
Knocked Up,knocked-up,49035,2007,,0,7,1,1,2024-07-20
The Usual Suspects,the-usual-suspects,51495,1995,,0,10,1,1,2024-07-19
The Devil's Advocate,the-devils-advocate,50780,1997,,0,10,1,1,2024-07-18
Dumb and Dumber,dumb-and-dumber,47705,1994,,0,5,0,0,2024-07-14
Dumb Money,dumb-money,710073,2023,,0,6,0,0,2024-07-06
A Simple Favor,a-simple-favor,415208,2018,,0,6,0,1,2024-06-24
The Heat,the-heat,104998,2013,,0,5,0,1,2024-06-16
The Thing,the-thing,51155,1982,,0,10,1,0,2024-06-13
Wayne's World,waynes-world,47552,1992,,1,10,1,1,2024-05-28
The Internship,the-internship,92621,2013,,1,6,0,1,2024-05-21
Glengarry Glen Ross,glengarry-glen-ross,47096,1992,,0,10,1,1,2024-05-15
Fun with Dick and Jane,fun-with-dick-and-jane-1996,47986,2005,,0,,0,0,2024-05-14
The Imitation Game,the-imitation-game,146954,2014,,0,6,0,1,2024-05-11
The Wonderful Story of Henry Sugar,the-wonderful-story-of-henry-sugar,829364,2023,,0,10,1,0,2024-05-09
Everything Everywhere All at Once,everything-everywhere-all-at-once,474474,2022,,0,10,1,1,2024-05-08
Sleeping with Other People,sleeping-with-other-people,213276,2015,,0,9,1,1,2024-05-07
Love & Other Drugs,love-other-drugs,21801,2010,,0,4,0,1,2024-05-06
The March of Fools,the-march-of-fools,122612,1975,,0,8,1,1,2024-05-02
Harry Potter and the Deathly Hallows: Part 2,harry-potter-and-the-deathly-hallows-part-2,44580,2011,,0,9,1,1,2024-04-26
Singin' in the Rain,singin-in-the-rain,51280,1952,,0,8,1,1,2024-04-26
The Social Network,the-social-network,26711,2010,,1,10,1,1,2024-04-26
My Neighbor Totoro,my-neighbor-totoro,47756,1988,,0,9,1,1,2024-04-24
Sleepaway Camp,sleepaway-camp,43778,1983,,1,8,1,1,2024-04-20
The Holdovers,the-holdovers,755564,2023,,0,10,1,1,2024-03-09
American Fiction,american-fiction,952812,2023,,0,4,0,1,2024-03-02
The Florida Project,the-florida-project,328538,2017,,0,10,1,1,2024-01-09
