name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
House,house,35925,1977,,0,10,1,1,2024-10-31
The Skin I Live In,the-skin-i-live-in,3519,2011,,0,9,1,0,2024-10-30
Eyes Without a Face,eyes-without-a-face,31194,1960,,0,8,0,0,2024-10-29
Moulin Rouge!,moulin-rouge-2001,51328,2001,,0,6,0,1,2024-10-28
Ruby Sparks,ruby-sparks,83860,2012,,0,10,1,1,2024-10-09
Little Miss Sunshine,little-miss-sunshine,51379,2006,,0,10,1,0,2024-10-06
After Hours,after-hours,45842,1985,,0,9,1,0,2024-10-04
Videodrome,videodrome,51315,1983,,0,7,0,1,2024-10-04
Thoroughbreds,thoroughbreds-2017,332009,2017,,0,6,0,1,2024-10-03
Loser,loser,46032,2000,,0,3,0,0,2024-10-02
Dinner in America,dinner-in-america,579052,2020,,0,6,0,0,2024-09-28
My Little Pony: Equestria Girls,my-little-pony-equestria-girls,144452,2013,,1,,1,1,2024-09-28
Private Parts,private-parts,36520,1972,,0,10,1,1,2024-09-27
Bound,bound,47289,1996,,0,10,1,1,2024-09-26
Whiplash,whiplash-2014,171384,2014,,1,9,1,1,2024-09-25
The Substance,the-substance,838140,2024,,0,9,1,1,2024-09-22
Nowhere,nowhere,50782,1997,,0,8,1,1,2024-09-19
Lisa Frankenstein,lisa-frankenstein,895007,2024,,0,8,1,0,2024-09-13
Beetlejuice,beetlejuice,49530,1988,,0,8,1,0,2024-09-10
Cat Soup,cat-soup,36303,2001,,0,8,0,1,2024-09-04
Opera,opera,39226,1987,,0,5,0,1,2024-09-01
Trap,trap-2024,931164,2024,,0,4,0,1,2024-08-25
Joker,joker-2019,406775,2019,,1,4,0,1,2024-08-24
Heathers,heathers,50177,1989,,1,10,1,1,2024-08-23
Frances Ha,frances-ha,96083,2012,,0,7,0,0,2024-08-23
Moonstruck,moonstruck,50575,1987,,0,7,0,1,2024-08-19
Helter Skelter,helter-skelter-2012,84642,2012,,0,9,1,1,2024-08-18
"What's Up, Doc?",whats-up-doc-1972,48165,1972,,0,10,1,1,2024-08-17
Bottoms,bottoms,731222,2023,,1,10,1,0,2024-08-13
Dìdi (弟弟),didi-2024,1045115,2024,,0,9,1,1,2024-08-01
Breathless,breathless,51787,1960,,0,8,0,0,2024-07-30
D.E.B.S.,debs,51577,2004,,0,10,1,1,2024-07-17
Longlegs,longlegs,1110059,2024,,0,5,0,1,2024-07-13
Mysterious Skin,mysterious-skin,45537,2004,,0,10,1,0,2024-07-10
The Doom Generation,the-doom-generation,43792,1995,,0,9,1,0,2024-07-09
Despicable Me 4,despicable-me-4,448506,2024,,0,,0,1,2024-07-06
Whiplash,whiplash-2014,171384,2014,,0,9,1,0,2024-06-28
Secretary,secretary,45689,2002,,0,6,1,1,2024-06-27
I Saw the TV Glow,i-saw-the-tv-glow,772230,2024,,0,9,1,0,2024-06-26
Fallen Angels,fallen-angels,45489,1995,,0,10,1,0,2024-06-11
Not Another Teen Movie,not-another-teen-movie,45337,2001,,0,2,0,0,2024-06-01
The Social Network,the-social-network,26711,2010,,0,8,0,0,2024-05-26
Challengers,challengers,842301,2024,,0,10,1,0,2024-05-17
Bodies Bodies Bodies,bodies-bodies-bodies,449442,2022,,0,7,0,0,2024-05-09
Silver Linings Playbook,silver-linings-playbook,69151,2012,,0,8,1,0,2024-05-07
The Devil Wears Prada,the-devil-wears-prada,51712,2006,,0,8,1,0,2024-04-29
